tp_id,node,indicator,unused,tech_type
664,18,1,0,1
665,18,1,0,2
666,18,1,0,3
667,18,1,0,4
668,18,1,0,5
669,18,1,0,6
670,18,1,0,7
671,18,1,0,8
672,18,1,0,9
673,18,1,0,10
674,18,1,0,11
675,18,1,0,12
676,18,1,0,13
677,18,1,0,14
678,18,1,0,15
679,18,1,0,16
680,18,1,0,17
681,18,1,0,18
682,18,1,0,19
683,18,1,0,20
684,18,1,0,21
685,18,1,0,22
686,18,1,0,23
687,18,1,0,24
688,18,1,0,25
689,18,1,0,26
690,18,1,0,27
691,18,1,0,28
692,18,1,0,29
693,18,1,0,30
694,18,1,0,31
695,18,1,0,32
696,18,1,0,33
697,18,1,0,34
698,18,1,0,35
699,18,1,0,36
700,18,1,0,37
701,18,1,0,38
702,18,1,0,39
703,19,1,0,1
704,19,1,0,2
705,19,1,0,3
706,19,1,0,4
707,19,1,0,5
708,19,1,0,6
709,19,1,0,7
710,19,1,0,8
711,19,1,0,9
712,19,1,0,10
713,19,1,0,11
714,19,1,0,12
715,19,1,0,13
716,19,1,0,14
717,19,1,0,15
718,19,1,0,16
719,19,1,0,17
720,19,1,0,18
721,19,1,0,19
722,19,1,0,20
723,19,1,0,21
724,19,1,0,22
725,19,1,0,23
726,19,1,0,24
727,19,1,0,25
728,19,1,0,26
729,19,1,0,27
730,19,1,0,28
731,19,1,0,29
732,19,1,0,30
733,19,1,0,31
734,19,1,0,32
735,19,1,0,33
736,19,1,0,34
737,19,1,0,35
738,19,1,0,36
739,19,1,0,37
740,19,1,0,38
741,19,1,0,39
742,20,1,0,1
743,20,1,0,2
744,20,1,0,3
745,20,1,0,4
746,20,1,0,5
747,20,1,0,6
748,20,1,0,7
749,20,1,0,8
750,20,1,0,9
751,20,1,0,10
752,20,1,0,11
753,20,1,0,12
754,20,1,0,13
755,20,1,0,14
756,20,1,0,15
757,20,1,0,16
758,20,1,0,17
759,20,1,0,18
760,20,1,0,19
761,20,1,0,20
762,20,1,0,21
763,20,1,0,22
764,20,1,0,23
765,20,1,0,24
766,20,1,0,25
767,20,1,0,26
768,20,1,0,27
769,20,1,0,28
770,20,1,0,29
771,20,1,0,30
772,20,1,0,31
773,20,1,0,32
774,20,1,0,33
775,20,1,0,34
776,20,1,0,35
777,20,1,0,36
778,20,1,0,37
779,20,1,0,38
780,20,1,0,39
781,21,1,0,1
782,21,1,0,2
783,21,1,0,3
784,21,1,0,4
785,21,1,0,5
786,21,1,0,6
787,21,1,0,7
788,21,1,0,8
789,21,1,0,9
790,21,1,0,10
791,21,1,0,11
792,21,1,0,12
793,21,1,0,13
794,21,1,0,14
795,21,1,0,15
796,21,1,0,16
797,21,1,0,17
798,21,1,0,18
799,21,1,0,19
800,21,1,0,20
801,21,1,0,21
802,21,1,0,22
803,21,1,0,23
804,21,1,0,24
805,21,1,0,25
806,21,1,0,26
807,21,1,0,27
808,21,1,0,28
809,21,1,0,29
810,21,1,0,30
811,21,1,0,31
812,21,1,0,32
813,21,1,0,33
814,21,1,0,34
815,21,1,0,35
816,21,1,0,36
817,21,1,0,37
818,21,1,0,38
819,21,1,0,39
820,22,1,0,1
821,22,1,0,2
822,22,1,0,3
823,22,1,0,4
824,22,1,0,5
825,22,1,0,6
826,22,1,0,7
827,22,1,0,8
828,22,1,0,9
829,22,1,0,10
830,22,1,0,11
831,22,1,0,12
832,22,1,0,13
833,22,1,0,14
834,22,1,0,15
835,22,1,0,16
836,22,1,0,17
837,22,1,0,18
838,22,1,0,19
839,22,1,0,20
840,22,1,0,21
841,22,1,0,22
842,22,1,0,23
843,22,1,0,24
844,22,1,0,25
845,22,1,0,26
846,22,1,0,27
847,22,1,0,28
848,22,1,0,29
849,22,1,0,30
850,22,1,0,31
851,22,1,0,32
852,22,1,0,33
853,22,1,0,34
854,22,1,0,35
855,22,1,0,36
856,22,1,0,37
857,22,1,0,38
858,22,1,0,39
859,23,1,0,1
860,23,1,0,2
861,23,1,0,3
862,23,1,0,4
863,23,1,0,5
864,23,1,0,6
865,23,1,0,7
866,23,1,0,8
867,23,1,0,9
868,23,1,0,10
869,23,1,0,11
870,23,1,0,12
871,23,1,0,13
872,23,1,0,14
873,23,1,0,15
874,23,1,0,16
875,23,1,0,17
876,23,1,0,18
877,23,1,0,19
878,23,1,0,20
879,23,1,0,21
880,23,1,0,22
881,23,1,0,23
882,23,1,0,24
883,23,1,0,25
884,23,1,0,26
885,23,1,0,27
886,23,1,0,28
887,23,1,0,29
888,23,1,0,30
889,23,1,0,31
890,23,1,0,32
891,23,1,0,33
892,23,1,0,34
893,23,1,0,35
894,23,1,0,36
895,23,1,0,37
896,23,1,0,38
897,23,1,0,39
898,24,1,0,1
899,24,1,0,2
900,24,1,0,3
901,24,1,0,4
902,24,1,0,5
